,linear.weight,linear.bias
0,[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]],[1.]
1,"[[ 0.27720356  0.40750903  0.2570643   0.3866668   0.5146508   0.191023
   0.02218835  0.42729378  0.58809686  0.42955017  0.86254054  0.19046597
   0.36913872  0.42274594  0.29083923  0.25104675 -1.5245233  -3.2801797
  -0.758849    1.421704    0.8020995   0.8540436 ]]",[-2.475316]
2,"[[-3.15286741e-02  8.29232857e-02  3.23600918e-02  2.83452213e-01
   4.94183451e-01 -7.05899447e-02 -6.04211688e-01  2.81874567e-01
   4.40535009e-01  1.21655025e-01 -5.10036349e-02 -5.94317401e-03
   1.28409127e-02  1.00373082e-01 -2.10727006e-03 -7.34401345e-02
  -2.86988664e+00 -5.57255936e+00 -1.62046218e+00  1.56124580e+00
   7.22519517e-01  8.27719510e-01]]",[-2.8356018]
3,"[[-1.6028568e-01  2.5589317e-02 -1.1343692e-01  2.1808574e-01
   5.1407754e-01 -2.2817348e-01 -1.0185008e+00  1.8054609e-01
   4.4269702e-01 -1.7897519e-03 -1.7740163e-01 -8.5703582e-02
   2.2345298e-04  1.1145833e-02  2.5523413e-04 -1.3276465e-01
  -3.6673100e+00 -7.0296407e+00 -2.1094925e+00  1.5866835e+00
   7.0330733e-01  7.8305960e-01]]",[-2.867151]
4,"[[-2.4800088e-01  2.2638194e-02 -2.3435196e-01  1.4816131e-01
   5.2925390e-01 -2.9817572e-01 -1.3078554e+00  1.2411924e-01
   4.4832134e-01 -1.0040859e-02 -4.8986235e-01 -2.6928508e-01
   9.5974817e-04  2.1254200e-02 -2.2343389e-04 -1.8052538e-01
  -4.2741165e+00 -8.0130348e+00 -2.4720905e+00  1.5633848e+00
   6.7951512e-01  7.8555042e-01]]",[-3.1039917]
5,"[[-2.9000744e-01  7.7634156e-03 -3.2280749e-01  1.2505448e-01
   5.5745536e-01 -3.0506417e-01 -1.4454894e+00  1.0488301e-01
   4.9135348e-01 -2.8126854e-02 -6.8990010e-01 -2.7416217e-01
  -2.5816774e-04  4.9824588e-02  2.5478203e-04 -1.8686773e-01
  -4.6675644e+00 -8.7202454e+00 -2.6831722e+00  1.5558028e+00
   6.5473020e-01  8.2362777e-01]]",[-3.2538402]
6,"[[-3.5992083e-01  2.6527653e-03 -3.1716689e-01  1.1216325e-01
   5.9827590e-01 -3.3435750e-01 -1.5577147e+00  7.2181642e-02
   4.6248466e-01 -2.5611626e-02 -9.0013409e-01 -4.4404662e-01
   3.9222161e-04  7.0358463e-02 -8.0442824e-04 -2.1246871e-01
  -4.9940038e+00 -9.2018843e+00 -2.8844776e+00  1.5283811e+00
   6.4621508e-01  8.1781608e-01]]",[-3.3830767]
7,"[[-3.8453215e-01 -8.6599439e-03 -3.3358717e-01  1.1528919e-01
   6.2240124e-01 -3.5662827e-01 -1.6667887e+00  8.7570354e-02
   4.8599964e-01 -1.9702915e-02 -1.0895717e+00 -5.0086153e-01
   3.7647632e-04  6.5161340e-02  3.3940404e-04 -1.9818330e-01
  -5.2303696e+00 -9.5801821e+00 -2.9928033e+00  1.5321152e+00
   6.5075886e-01  8.3412409e-01]]",[-3.4746566]
8,"[[-4.1463920e-01 -6.2173186e-04 -3.5501516e-01  9.4462819e-02
   6.3277948e-01 -3.7367421e-01 -1.7249457e+00  9.7329810e-02
   5.2699947e-01 -3.1958234e-02 -1.1221557e+00 -5.4910457e-01
   5.1619118e-04  7.7274434e-02 -7.6739566e-04 -1.9145669e-01
  -5.3868389e+00 -9.8945208e+00 -3.0653195e+00  1.5331460e+00
   6.5605855e-01  8.6352956e-01]]",[-3.4546106]
9,"[[-4.1746014e-01 -8.7116845e-03 -3.8377273e-01  1.0993597e-01
   6.1200458e-01 -3.8771242e-01 -1.7726574e+00  1.0542787e-01
   5.2842635e-01 -3.4194469e-02 -1.1526282e+00 -5.6588036e-01
  -2.9734569e-05  1.0154306e-01 -6.1856461e-04 -1.7794855e-01
  -5.5292249e+00 -1.0132327e+01 -3.1147370e+00  1.5331624e+00
   6.6832793e-01  9.2359066e-01]]",[-3.483883]
