,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606 0.95149606 0.95149606
  0.95149606 0.95149606 0.95149606 0.95149606]]",[0.9555197]
2,"[[0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347 0.91047347 0.91047347
  0.91047347 0.91047347 0.91047347 0.91047347]]",[0.9077651]
3,"[[0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124
  0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124 0.8707124]]",[0.8632916]
4,"[[0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156 0.82559156 0.82559156
  0.82559156 0.82559156 0.82559156 0.82559156]]",[0.81791234]
5,"[[0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465 0.78283465 0.78283465
  0.78283465 0.78283465 0.78283465 0.78283465]]",[0.7710208]
6,"[[ 0.7348844   0.66323215  0.10590132  0.42400646  0.78493315  0.10068683
   0.2264863  -0.14191754  0.7348844   0.5324748   0.74300563  0.55835253
   0.45694068  0.4797257   0.46029586  0.6602806   0.74771684  0.74610037
   0.46916342  0.44945484  0.54661024 -0.6623722   0.8290714   0.5148714
  -0.48312938  0.687371    0.8346553   1.2736285   0.40699634  0.48410904
   0.512101    0.7270601  -0.84282196 -0.8744353   0.75867325  0.31150013
  -0.42726204  0.00226007  0.748785    0.4443691   0.405593    0.70781976
   0.7410956   0.80360657  0.5581503   0.67277014  0.81030244  0.6579825
   0.69699806 -0.391826    0.27606404  0.714712    0.26568818 -0.2741026
   0.6566364   0.6820501   0.21995898 -0.21462062  0.67554575  0.687371
   0.49404427  0.7479265   0.8413069   0.74492645  0.5092947   0.27260563
   0.02046052  0.7137525   0.687371    0.42346737  0.7473181   0.8307559
   0.74492645  0.5995879   0.32235092 -0.03521599  0.71229565 -0.85510975
   0.7137525   0.7417712  -0.8350929   0.7425032   0.6424225  -0.7062074
   0.687371    0.43237683  0.687371    0.14745566  0.03824903  0.76884365
   0.7403625  -0.20649162  0.87911046  0.7400104   0.84412247  0.565266
   0.7509702   0.00153059  0.7411496   0.80479807  0.65845245  0.8345797
   0.45678082 -0.46051273  0.5475319   0.5208954   0.38965788  0.69301426
   0.4414224   0.22647792  0.518155    0.7633694 ]]",[-0.26042405]
7,"[[ 0.68428147  0.6280477  -0.03885273  0.31877002  0.8121515   0.14384675
   0.1821413  -0.31648055  0.6734867   0.6773537   0.71375775  0.32608345
   0.42568243  0.48318708  0.4899077   0.42712975  0.7669383   0.7679447
   0.33514553  0.56994945  0.5148329  -0.6835506   1.0850656   0.16309524
  -0.8917436   0.5239256   1.0814632   1.9107221   0.04084203  0.38584203
   0.41885847  0.63687843 -0.8055962  -0.9733175   0.80459964  0.592579
  -0.76129687 -0.08875687  0.7298627   0.4467816   0.3122513   0.7662332
   0.70340556  0.8175679   0.58155185  0.54154074  0.79216945  0.5897074
   0.5884842  -0.50534683  0.3366292   0.62639576  0.5305375  -0.4780875
   0.5486614   0.5682699   0.24553384 -0.2920128   0.7057169   0.5239256
   0.40059844  0.72399163  0.8585251   0.71518946  0.42261449  0.243552
   0.1003425   0.6188744   0.5239256   0.3375268   0.7233723   0.86439544
   0.71518946  0.5636108   0.2580422   0.04406475  0.6052938  -0.86683017
   0.6188744   0.7057474  -0.804669    0.70755446  0.5083428  -0.5028737
   0.5239256   0.39333907  0.5239256   0.15124801 -0.07867986  0.8919314
   0.70181286 -0.43119258  1.0736005   0.7023694   1.1264142   0.21869731
   0.7507922  -0.0520653   0.7028451   0.8127999   0.4577706   0.98858446
   0.29046693 -0.6327921   0.70690256  0.4678066   0.39090037  0.6712326
   0.3388258   0.19634627  0.37265345  0.7736228 ]]",[-0.35629126]
8,"[[ 0.60409194  0.5204832   0.00541813  0.23802197  0.81180495  0.084438
   0.15011242 -0.4103761   0.60608196  0.688001    0.6563926   0.08409221
   0.36875722  0.44018638  0.50188136  0.23058683  0.779667    0.775106
   0.27963302  0.622326    0.4219653  -0.6772613   1.278604   -0.11368599
  -1.1433606   0.32073593  1.2536056   2.3631635  -0.16649267  0.30367935
   0.3367566   0.48862082 -0.7439166  -1.0492463   0.7939497   0.69624823
  -0.95154434 -0.1176344   0.70459384  0.39426446  0.26352686  0.75587016
   0.65945333  0.820728    0.5559594   0.4268021   0.7495379   0.5666377
   0.43396237 -0.56467825  0.30938262  0.53331727  0.6404019  -0.60439014
   0.475496    0.4102239   0.14683054 -0.28147495  0.7692459   0.32073593
   0.32481498  0.6977974   0.8463012   0.68079734  0.34717515  0.19729291
   0.15168521  0.5219683   0.32073593  0.26300627  0.69646204  0.85397965
   0.68079734  0.55529284  0.20817907  0.03577974  0.50214297 -0.9053565
   0.5219683   0.66394824 -0.80800056  0.66690946  0.3993018  -0.32527328
   0.32073593  0.27593076  0.32073593  0.15090968 -0.11507279  1.0185264
   0.6573518  -0.49939358  1.1893017   0.6587449   1.209645   -0.09732328
   0.73890114 -0.01910957  0.65835184  0.7861333   0.22582677  1.0914071
   0.14335962 -0.7015169   0.79973656  0.3311997   0.3662682   0.5837329
   0.27870798  0.20555106  0.2467902   0.776196  ]]",[-0.33379748]
9,"[[ 0.5298923   0.40817174 -0.01359985  0.19975767  0.8027386   0.10166672
   0.06051585 -0.39946178  0.54437476  0.70138586  0.6442964  -0.04088094
   0.32576326  0.4167959   0.50554925  0.0508207   0.7705458   0.7753185
   0.20289876  0.6265191   0.3347455  -0.6188468   1.4316182  -0.26960418
  -1.3148234   0.195356    1.4001709   2.6216776  -0.2918089   0.22402796
   0.26028764  0.39265698 -0.67675793 -1.0747365   0.7906347   0.77488273
  -1.0589839  -0.13358176  0.68498945  0.3139954   0.20349567  0.76118577
   0.6140565   0.82343113  0.52461725  0.27824622  0.71678907  0.5952543
   0.3114208  -0.5742252   0.29012427  0.42025915  0.7122346  -0.6458962
   0.43122306  0.27120042  0.09363987 -0.26754627  0.8205268   0.195356
   0.24868368  0.6717525   0.82457125  0.64497197  0.28155714  0.14685568
   0.20466699  0.39945132  0.195356    0.19112693  0.6694613   0.8322461
   0.64497197  0.5497655   0.15014054  0.04443727  0.3681682  -0.88506216
   0.39945132  0.6214653  -0.72756296  0.62446725  0.2535069  -0.13200338
   0.195356    0.19657595  0.195356    0.11436936 -0.14221719  1.110842
   0.6113352  -0.52231544  1.2581574   0.61459434  1.31705    -0.3845988
   0.72674537  0.03281548  0.61241746  0.7478388   0.07199998  1.1519108
   0.10789383 -0.8078381   0.84793764  0.274206    0.2917191   0.48966876
   0.20235288  0.18902537  0.17857362  0.7903974 ]]",[-0.31275618]
