,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[ 0.38069493  0.83612365  0.31068692  0.49495563  0.7807363  -0.1779702
   0.434895   -0.49648526  0.8868127   0.4511546   0.45649427  0.7514634
   1.0466386  -0.78346306  1.0453613   0.01337212  0.68475354  0.81629336
   0.40122873  0.4661942   0.29969928  0.4672318   0.3591605   0.35791028
   0.4364211   0.35703012  0.22679761  0.56203943  0.73692936  0.6387542
   0.7689772   0.36893547  0.13226685  2.348868    1.3804263   0.14403836
   0.46491838  0.33337843  0.2812426   0.51091766  0.9054568   0.7917615
   1.448272    0.42521563  0.26285926  0.10303321  0.89714503  0.9243998
   0.838985    1.5193827   0.39820808  0.6834775   0.68244     0.7132507
   0.9228741   0.28924385  1.3761382   1.1304424   0.34496453  0.65471613
   0.6931775   0.84997255  0.79051155  1.5593439   0.7484432   0.69851744
   0.5876322   0.9427303 ]]",[-2.9865155]
2,"[[ 0.09635602  0.75597847  0.21971238  0.5407747   0.6747619  -0.4880378
   0.19427055 -1.222021    1.0199603   0.41731086  0.4608472   0.6507235
   1.249937   -1.7244151   1.1683383  -0.18389244  0.57164043  0.7614599
   0.40499282  0.47425175  0.26036867  0.43821883  0.32906222  0.17492536
   0.22796696  0.10313673  0.07544038  0.6540024   0.7574833   0.476879
   0.9188622   0.3404558  -0.15512115  3.4424498   1.7728889  -0.22392625
   0.4435774   0.25375772 -0.0595612   0.5383387   0.8251234   0.84029204
   1.8874458   0.27339494 -0.00474258 -0.16127166  1.0240304   0.8641181
   0.7955054   1.9330738   0.36449397  0.540966    0.5769989   0.7872507
   0.9397769  -0.11352663  1.6659399   1.2550387   0.31389475  0.47444284
   0.5543707   0.7548492   0.68615556  2.0304735   0.6102251   0.5979071
   0.36121494  0.91755193]]",[-2.7805388]
3,"[[-0.02932937  0.6804454   0.14313734  0.5828733   0.60814065 -0.6978477
   0.03112425 -1.752749    1.0891682   0.39718547  0.4641355   0.59905803
   1.3451687  -2.448775    1.2792217  -0.2949296   0.47966486  0.73005706
   0.41110682  0.4968558   0.23773307  0.41701365  0.29862955  0.06098489
   0.07222503 -0.0442321  -0.00662828  0.751804    0.8119158   0.34670663
   0.9990796   0.3063479  -0.3255081   4.311643    2.055689   -0.44903824
   0.43482408  0.18443163 -0.2739529   0.56778204  0.7530426   0.8535033
   2.2483928   0.1253151  -0.06336373 -0.2412982   1.0954973   0.7990692
   0.7713513   2.2238448   0.31543052  0.41763282  0.49747485  0.8422637
   0.9518772  -0.37881857  1.8909558   1.3455026   0.3028123   0.33161533
   0.45035338  0.6767559   0.61585927  2.4292717   0.5033819   0.5173034
   0.16268441  0.8953631 ]]",[-2.585628]
4,"[[-0.0901418   0.6003035   0.05524425  0.5862283   0.52354735 -0.87680465
  -0.0377476  -2.1598108   1.1029291   0.33501548  0.43923408  0.5162804
   1.4024578  -3.034392    1.3259258  -0.40664715  0.4094738   0.69858986
   0.3975584   0.4777853   0.19862203  0.355781    0.25113654 -0.01342117
  -0.02107655 -0.07731466 -0.01327262  0.8177394   0.8623141   0.23115622
   1.0618182   0.274585   -0.44733855  4.998284    2.2663188  -0.634734
   0.38865915  0.09954295 -0.4346728   0.5669768   0.67410773  0.81155336
   2.5032613  -0.02583745 -0.07519883 -0.2966617   1.1772739   0.7317993
   0.7428884   2.4397733   0.28185207  0.32034746  0.44235137  0.8834683
   0.93353313 -0.5973306   2.0718381   1.4210427   0.28639215  0.21190439
   0.35889876  0.59951085  0.5469962   2.7470427   0.4005745   0.46311745
  -0.00571113  0.8743258 ]]",[-2.6039736]
5,"[[-1.5109050e-01  5.1412106e-01 -2.9079154e-02  5.7209188e-01
   4.4546196e-01 -1.0402632e+00 -8.6771727e-02 -2.5017474e+00
   1.0962554e+00  2.5672072e-01  3.8798046e-01  4.4707173e-01
   1.4380503e+00 -3.5503125e+00  1.3710859e+00 -5.0735104e-01
   3.4469476e-01  6.6359472e-01  3.6690778e-01  4.3919262e-01
   1.3842483e-01  2.8467038e-01  1.7567350e-01 -3.3975877e-02
  -3.9151967e-02 -7.7902883e-02 -1.0150814e-02  8.5883540e-01
   8.9984417e-01  1.2064185e-01  1.1142713e+00  2.2016451e-01
  -5.3617871e-01  5.5790091e+00  2.4133759e+00 -8.1985807e-01
   3.2093227e-01  2.0321738e-03 -5.9428412e-01  5.4498518e-01
   6.0261601e-01  7.7601236e-01  2.7169702e+00 -5.6726344e-02
  -7.7020951e-02 -3.4075019e-01  1.2467380e+00  6.5465730e-01
   7.1788460e-01  2.6311464e+00  2.1855475e-01  2.2643401e-01
   3.8095605e-01  8.9304793e-01  8.9812475e-01 -7.8261065e-01
   2.2268009e+00  1.4758413e+00  2.4955504e-01  9.3534648e-02
   2.7764651e-01  5.2720225e-01  4.8995319e-01  3.0454054e+00
   2.9871902e-01  4.0890622e-01 -5.5302933e-02  8.4973043e-01]]",[-2.4119167]
6,"[[-1.67638928e-01  4.34393287e-01  2.23626150e-04  5.74424386e-01
   3.69155467e-01 -1.15525723e+00 -1.04097076e-01 -2.78208399e+00
   1.10931540e+00  2.01539502e-01  3.56117278e-01  3.94297987e-01
   1.47408152e+00 -4.02685356e+00  1.42833519e+00 -5.53050816e-01
   2.85571784e-01  6.29209161e-01  3.67701948e-01  4.25028890e-01
   1.08141541e-01  2.30067626e-01  1.28505155e-01 -5.85176051e-03
  -3.92696783e-02 -4.43029255e-02 -4.25393926e-03  9.40182686e-01
   9.53110158e-01  9.37470235e-03  1.15947461e+00  1.89198747e-01
  -6.10958517e-01  6.12937450e+00  2.56861734e+00 -9.70885694e-01
   2.72782922e-01 -1.70767796e-03 -7.33533204e-01  5.48980117e-01
   5.31275570e-01  7.43010342e-01  2.91923881e+00 -7.26169050e-02
  -6.14256635e-02 -3.48126352e-01  1.30120790e+00  5.77973545e-01
   6.85728610e-01  2.81987119e+00  1.64056316e-01  1.33325577e-01
   3.28286707e-01  9.21821237e-01  8.98228765e-01 -9.56021011e-01
   2.37045121e+00  1.50917673e+00  2.25386962e-01 -2.41440232e-03
   2.02237487e-01  4.50213403e-01  4.29849297e-01  3.32739902e+00
   1.90652773e-01  3.56815219e-01 -1.07994653e-01  8.22786391e-01]]",[-2.336062]
7,"[[-2.0258912e-01  3.6106342e-01 -2.0158101e-02  5.5888700e-01
   2.9339215e-01 -1.2534468e+00 -1.2065233e-01 -2.9948184e+00
   1.1038606e+00  1.4022179e-01  3.1531864e-01  3.3509374e-01
   1.4810673e+00 -4.3952293e+00  1.4624861e+00 -6.0707515e-01
   2.3772022e-01  5.9425598e-01  3.5080180e-01  3.9188433e-01
   6.2850922e-02  1.6952400e-01  6.5066889e-02 -2.5046952e-02
  -3.2373652e-02 -2.0312924e-02 -2.7537551e-03  9.8457283e-01
   9.9749160e-01  3.5195078e-03  1.2061926e+00  1.5398028e-01
  -6.2912083e-01  6.5564942e+00  2.6684444e+00 -1.1012629e+00
   2.0965277e-01 -1.8924439e-02 -8.4733093e-01  5.3308189e-01
   4.6132204e-01  7.1484202e-01  3.0759695e+00 -9.6083060e-02
  -4.4202995e-02 -3.4334373e-01  1.3478278e+00  5.0745153e-01
   6.5653390e-01  2.9277318e+00  1.1227899e-01  5.5488400e-02
   2.7784866e-01  9.2669362e-01  8.6779153e-01 -1.0972630e+00
   2.4804087e+00  1.5399783e+00  1.9631341e-01 -1.0837358e-02
   1.3205437e-01  3.8452229e-01  3.8230583e-01  3.5463414e+00
   9.6571185e-02  3.0715120e-01 -1.4061660e-01  7.9640251e-01]]",[-2.204399]
8,"[[-2.0672168e-01  2.8924906e-01 -7.7955923e-03  5.3482479e-01
   2.3032320e-01 -1.3581805e+00 -1.2606293e-01 -3.1782150e+00
   1.0974643e+00  6.4596578e-02  2.6028723e-01  3.0172840e-01
   1.4859835e+00 -4.7701302e+00  1.4928237e+00 -6.5678120e-01
   1.8673758e-01  5.6782627e-01  3.2347983e-01  3.5411608e-01
   1.1625110e-02  9.7114369e-02 -5.4977718e-05 -1.0939162e-02
  -2.0843998e-02 -8.7569905e-03 -1.9096493e-03  1.0316851e+00
   1.0388995e+00  1.1987179e-03  1.2242469e+00  9.1482878e-02
  -6.5346438e-01  6.9682570e+00  2.7437780e+00 -1.2112837e+00
   1.3506892e-01 -6.5119364e-03 -9.6073931e-01  5.1093709e-01
   3.8855234e-01  6.6310358e-01  3.2202375e+00 -1.1706795e-01
  -2.3884287e-02 -3.3433712e-01  1.3716897e+00  4.3120655e-01
   6.3179773e-01  3.0411525e+00  2.0077845e-02  1.1168795e-04
   2.2469176e-01  9.2908603e-01  8.4846425e-01 -1.2419637e+00
   2.5990641e+00  1.5632372e+00  1.4558673e-01 -2.8717380e-03
   6.1519504e-02  3.1018168e-01  3.2186115e-01  3.7900863e+00
  -1.5633000e-03  2.5720993e-01 -1.7380680e-01  7.6702714e-01]]",[-2.1048453]
9,"[[-2.1706608e-01  2.2304630e-01 -1.7888226e-02  4.9519765e-01
   1.6304579e-01 -1.4581729e+00 -1.3188206e-01 -3.3226144e+00
   1.0733773e+00 -1.1703563e-02  2.0164870e-01  2.4903405e-01
   1.4812946e+00 -5.0775957e+00  1.4918740e+00 -7.1598971e-01
   1.3347310e-01  5.4272008e-01  2.7529985e-01  3.1258780e-01
  -1.9547835e-02  2.1535220e-02 -2.0492241e-02 -3.0002505e-02
  -1.2458514e-02 -1.7200273e-02  2.6867762e-03  1.0645164e+00
   1.0827687e+00  5.6525874e-03  1.2348912e+00  2.9828794e-02
  -6.4652848e-01  7.2883949e+00  2.7959282e+00 -1.3168095e+00
   5.9401855e-02 -2.1226779e-02 -1.0589077e+00  4.7386888e-01
   3.1375897e-01  6.1727065e-01  3.3314145e+00 -1.5328339e-01
  -1.2751770e-02 -3.2934850e-01  1.4138499e+00  3.5923693e-01
   6.1002684e-01  3.1049511e+00  4.2486116e-03  2.4429420e-03
   1.7133941e-01  9.2100048e-01  8.0717057e-01 -1.3527855e+00
   2.6993561e+00  1.5843455e+00  9.3035713e-02 -4.8845750e-03
   4.1707205e-03  2.4147901e-01  2.5930256e-01  3.9810874e+00
  -1.2792639e-03  2.0457850e-01 -2.0633861e-01  7.4081141e-01]]",[-2.0641863]
