,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1.]]",[1.]
1,"[[-0.44997743 -0.03931825  0.38907102  0.5584326   0.6914686   0.22485039
  -0.02682089  0.59079844  0.8138718   0.18836382  0.27044192  0.8228771
   0.839583    0.02139634  0.2816879   0.09250852  0.07485691  0.32773918
   0.5726314   0.3698493   0.4742019   0.21699038  1.04351     0.52707833
   0.61416477  0.59314245  0.43647903  0.7509331   0.87639785  0.64687103
   0.580144    1.0019171   0.56210583  0.7794583  -0.80305004  0.21699038
   0.3698493   0.30054438  0.9723605   1.0828625  -0.01731443 -0.57031745
   0.42127752  0.530413    0.5835782   0.8600487   0.97034466  0.506023
  -0.05877982  0.76182467  1.2452494   0.90429085  0.30359524  0.40858033
   0.46212918  0.23917773  0.5137538   0.75641733  0.8118361   0.83139867
   1.3133476  -0.09551448  0.70354927 -0.0212462   0.3863933  -0.04948689
   0.08491378  0.019798    0.5733262   0.53911394 -0.0489396  -0.75831455
  -0.3446086  -1.5589123   0.1500084  -1.4045181  -0.00349741 -0.43645322
   0.16693717  0.05588868  0.63317096  0.6735982   0.41463012  0.82777494
   0.7777747   0.6938771   0.78865004  0.7582011   0.82443744  0.6994256
   0.8182744   0.7956519   0.7294211   0.7202614   0.769741    0.779898
   0.8234919   0.7291162   0.7847145   0.76933706  0.7728417   0.7553987
   0.28914773  0.8004555   0.82528394  0.8102619   0.747887    0.81146187
   0.8113831   0.7907659   0.79028976  0.7827991   0.8293786   0.8016863
   0.79599917  0.8357333   0.8085209   0.842468    0.7343576   0.8212564
   0.8240269   0.81981516  0.8378815 ]]",[-2.073513]
2,"[[-6.8032497e-01 -6.2363137e-02  3.9662689e-01  6.2074339e-01
   6.9234771e-01  2.4378157e-01 -6.5176837e-02  4.5072365e-01
   6.9768959e-01  4.2805426e-02 -1.0532856e-02  6.5945667e-01
   6.8688583e-01 -7.6609507e-02  1.4722128e-01  7.9140868e-03
   8.3896499e-03  1.7617430e-01  3.2370847e-01  2.4298908e-01
   3.5071456e-01  9.2757702e-02  1.0230563e+00  3.6391562e-01
   4.9528694e-01  3.5460839e-01  1.8437713e-01  5.8092606e-01
   7.3427129e-01  4.4631726e-01  4.7038797e-01  9.8359501e-01
   3.6384800e-01  6.0426408e-01 -9.1313124e-01  9.2757702e-02
   2.4298908e-01  1.6937192e-01  9.9513847e-01  1.2547344e+00
  -1.6618848e-02 -4.7589576e-01  1.5017669e-01  3.2762259e-01
   3.8728479e-01  7.2915274e-01  9.1658497e-01  3.7714076e-01
  -4.2544704e-02  6.5244877e-01  1.1555710e+00  8.6945158e-01
   9.6471293e-04  1.2488706e-01  3.8526690e-01 -1.9620899e-02
   4.0571925e-01  5.7553279e-01  7.5637347e-01  6.7471457e-01
   1.4599192e+00 -1.6592230e-01  5.7339013e-01  2.0606756e-02
   9.3063660e-02 -5.0585844e-02  2.1048863e-01  1.7707389e-02
   3.2461679e-01  2.8707874e-01 -4.2826356e-04 -6.8588346e-01
  -1.4708270e-01 -1.5171341e+00  7.6451346e-02 -1.0944616e+00
  -6.9264792e-02 -5.7243603e-01 -9.1999052e-03  6.7941584e-02
   5.4678690e-01  6.0038704e-01  6.1195856e-01  6.8994915e-01
   6.1245090e-01  5.1476818e-01  6.4440233e-01  6.0832196e-01
   6.6678804e-01  4.8733702e-01  6.8644416e-01  6.1022401e-01
   5.5434775e-01  5.2704835e-01  6.1428839e-01  6.1713195e-01
   6.6924763e-01  6.2697673e-01  6.4219272e-01  5.9419435e-01
   6.3636345e-01  5.5603713e-01  6.2443733e-02  6.4990276e-01
   6.7546302e-01  6.5107507e-01  5.6921828e-01  6.5040195e-01
   6.5434301e-01  6.3011771e-01  6.3171691e-01  5.9864968e-01
   6.7586911e-01  6.3859904e-01  6.3371080e-01  6.8414521e-01
   6.4877439e-01  7.0983529e-01  5.5824828e-01  6.6972220e-01
   6.6865045e-01  6.6412973e-01  6.8649524e-01]]",[-2.187609]
3,"[[-8.20434451e-01 -1.13884509e-02  3.66733253e-01  6.04661465e-01
   7.19088733e-01  2.50051379e-01 -1.67745799e-01  3.27227920e-01
   6.07085645e-01  4.02337536e-02 -3.33814435e-02  4.69015092e-01
   5.11995792e-01 -1.91385537e-01  1.03215195e-01  2.62935013e-02
  -5.27432486e-02  1.44428685e-01  1.86451122e-01  1.91140145e-01
   1.73905879e-01  3.29879299e-02  8.85461569e-01  2.05882311e-01
   3.63799155e-01  1.52063116e-01 -8.51362199e-03  4.06313479e-01
   5.30155957e-01  2.48805478e-01  2.83994645e-01  9.39442575e-01
   1.41962066e-01  4.11434412e-01 -9.65655625e-01  3.29879299e-02
   1.91140145e-01  5.21316156e-02  9.88860369e-01  1.35560203e+00
   2.97982339e-03 -3.21684450e-01 -3.70453112e-04  1.64815471e-01
   1.96712986e-01  5.80354214e-01  8.45488012e-01  2.76876211e-01
  -9.47210863e-02  6.06340110e-01  1.05754280e+00  8.04040492e-01
  -3.47901247e-02  4.38653901e-02  3.16816479e-01 -8.19159001e-02
   2.43641704e-01  3.75092447e-01  7.24498689e-01  5.01313925e-01
   1.48293626e+00 -2.34249979e-01  4.48206067e-01  5.11367247e-02
   8.96705221e-03  1.02640931e-02  1.49026543e-01  4.75941226e-02
   7.77249038e-02  6.20732047e-02 -2.48657074e-03 -6.15882397e-01
   4.76297513e-02 -1.44573307e+00  1.16758354e-01 -9.23278928e-01
   2.45781895e-02 -6.82877958e-01 -3.97301652e-03  2.47599911e-02
   5.36934793e-01  5.60281634e-01  6.05258763e-01  5.30741870e-01
   4.31205511e-01  3.18083167e-01  5.06115139e-01  4.54163551e-01
   4.88192767e-01  2.84173906e-01  5.34254193e-01  4.23940420e-01
   3.55762243e-01  3.12208563e-01  4.46874827e-01  4.23435479e-01
   4.92145717e-01  5.45376182e-01  5.04014850e-01  4.19135451e-01
   4.70351040e-01  3.62215072e-01 -2.29592249e-03  4.73806679e-01
   5.07129610e-01  4.86949742e-01  3.74688476e-01  4.69625920e-01
   4.70171541e-01  4.51834112e-01  4.63278383e-01  3.91974300e-01
   4.99618232e-01  4.60049480e-01  4.44163322e-01  5.10469258e-01
   4.66167122e-01  5.52353203e-01  3.59065205e-01  4.94539469e-01
   4.91939962e-01  4.83558416e-01  5.13842463e-01]]",[-2.1241267]
4,"[[-9.21256125e-01 -4.19456512e-02  4.02429283e-01  6.23272896e-01
   6.95865571e-01  2.31744021e-01 -1.53951302e-01  2.62270629e-01
   5.62439442e-01  4.17826325e-02 -2.69634370e-02  2.98854768e-01
   3.47731262e-01 -1.84081241e-01  1.32196754e-01 -3.61974537e-02
  -4.38818187e-02  8.48004594e-02  3.60565186e-02  1.19369403e-01
   1.01052886e-02  1.08232349e-03  7.48416603e-01  1.31672472e-01
   2.65718102e-01 -3.56093771e-03 -1.43842399e-02  2.59311646e-01
   3.77635568e-01  6.44276664e-02  1.28897667e-01  8.57740760e-01
   8.73075332e-03  2.35448927e-01 -9.60606933e-01  1.08232349e-03
   1.19369403e-01  4.82694656e-02  9.47483897e-01  1.43876481e+00
   4.36952431e-03 -3.10213536e-01 -6.80915685e-03  7.38410652e-02
   5.59277162e-02  4.58551377e-01  8.09284866e-01  2.33416826e-01
  -1.83903426e-01  5.00645518e-01  1.01959825e+00  7.15598404e-01
  -1.46103161e-03  3.02989520e-02  2.75494576e-01 -6.25823140e-02
   1.06685862e-01  1.94895536e-01  6.26328170e-01  3.38130832e-01
   1.46466565e+00 -2.30235875e-01  3.47544700e-01  4.83151041e-02
   9.13503952e-03  1.02028716e-02  1.53140515e-01  3.03363260e-02
  -9.04856133e-04 -4.85870754e-04 -7.35253841e-03 -5.27371049e-01
   7.88388401e-02 -1.39980567e+00  1.52801737e-01 -7.95750856e-01
   2.93444488e-02 -7.07240045e-01 -1.36960205e-02  1.20962318e-02
   4.28376287e-01  5.24369419e-01  5.48324645e-01  3.81864220e-01
   2.79953599e-01  1.43211231e-01  3.82296652e-01  3.10516983e-01
   3.21230084e-01  7.61003569e-02  3.91635656e-01  2.40593627e-01
   1.80377349e-01  1.25911444e-01  2.83938766e-01  2.59144813e-01
   3.27058613e-01  4.49519843e-01  3.71026576e-01  2.43218511e-01
   3.22100937e-01  1.61690056e-01 -4.98331338e-03  3.04891229e-01
   3.42897236e-01  3.43140960e-01  1.94913849e-01  3.02626073e-01
   3.14549446e-01  2.92308062e-01  3.03053528e-01  1.98761255e-01
   3.36236149e-01  2.96204925e-01  2.73876607e-01  3.53065342e-01
   3.00533891e-01  4.04178411e-01  1.76901236e-01  3.30035657e-01
   3.26206058e-01  3.11109960e-01  3.51909071e-01]]",[-1.8601679]
5,"[[-9.93727624e-01 -3.90967913e-02  3.25409561e-01  5.92741072e-01
   6.86027110e-01  2.11427644e-01 -1.94933951e-01  2.35542104e-01
   5.08721530e-01  3.11281029e-02 -2.91014388e-02  1.26485348e-01
   1.87054649e-01 -1.99314654e-01  8.81618708e-02 -3.95198464e-02
  -6.53257221e-02  1.05352513e-01 -2.94906944e-02  6.76073804e-02
  -5.50200418e-03 -7.99557418e-02  6.63132071e-01  2.94976868e-02
   1.63603559e-01  4.00917488e-04 -2.33185776e-02  1.22137256e-01
   2.53649473e-01 -1.06041552e-04 -6.80846628e-04  7.79982328e-01
   1.06398854e-02  5.99453263e-02 -9.80189383e-01 -7.99557418e-02
   6.76073804e-02  2.88390256e-02  9.44079697e-01  1.45618463e+00
  -1.20465737e-03 -3.09267461e-01 -1.40982820e-03  1.55166658e-02
   2.88227759e-03  3.35387230e-01  7.64944911e-01  2.07703695e-01
  -2.42746785e-01  4.27530944e-01  9.44652736e-01  6.69899464e-01
  -4.16974574e-02 -1.37438532e-02  2.35374182e-01 -1.42173231e-01
   1.79239754e-02  1.71561874e-02  5.87918043e-01  1.77050918e-01
   1.37215137e+00 -2.65436113e-01  2.74485856e-01  5.79817854e-02
   1.01092560e-02  1.52814817e-02  6.92298636e-02  3.66051272e-02
  -9.13331634e-04  5.46253147e-03 -3.16791050e-02 -5.43535531e-01
   8.11587945e-02 -1.42988467e+00  1.59009293e-01 -8.15679133e-01
   3.94052081e-02 -7.85957217e-01 -9.25940368e-03 -3.07212006e-02
   4.38010454e-01  4.84443784e-01  3.83304656e-01  2.43446618e-01
   1.36988550e-01  2.16412765e-04  2.57669568e-01  1.77111551e-01
   1.56874612e-01 -6.69505796e-04  2.53775597e-01  6.31405115e-02
   1.78588033e-02  2.13493477e-05  1.40258223e-01  9.66594517e-02
   1.64379925e-01  3.43717098e-01  2.52105713e-01  7.70317093e-02
   1.74989536e-01  4.73685446e-04 -4.33137408e-03  1.34023815e-01
   1.93872765e-01  1.89717650e-01  2.17517819e-02  1.34660304e-01
   1.57501802e-01  1.39530480e-01  1.49707913e-01  1.10288272e-02
   1.81137398e-01  1.35722712e-01  1.06226869e-01  1.94361314e-01
   1.36536732e-01  2.61514008e-01 -3.75381205e-07  1.68911591e-01
   1.67377383e-01  1.54157668e-01  1.93291649e-01]]",[-1.555138]
6,"[[-1.06427121e+00 -1.04578309e-01  4.07748401e-01  5.37175417e-01
   7.10285783e-01  2.22817510e-01 -2.20819056e-01  2.19588935e-01
   5.08297622e-01  4.12375703e-02 -1.29164383e-02  1.21184881e-03
   3.05440333e-02 -1.76880002e-01  1.27687395e-01 -2.75890902e-02
  -4.29974049e-02  9.21956152e-02 -5.53345680e-03  2.72447839e-02
  -7.70422257e-03 -7.17265457e-02  5.57128906e-01  2.61025727e-02
   8.98883194e-02  1.04236067e-04 -2.39364486e-02  1.18458262e-02
   1.68487757e-01  1.15173729e-03 -7.30324863e-03  7.00664043e-01
   2.91509274e-03 -1.32862316e-03 -9.98715222e-01 -7.17265457e-02
   2.72447839e-02  7.08795637e-02  9.71885145e-01  1.57922173e+00
  -1.64373983e-02 -2.99092591e-01 -1.73248141e-03  9.04730614e-03
   3.98073625e-03  2.24990278e-01  6.73824012e-01  1.42210573e-01
  -2.68881470e-01  4.05451298e-01  9.73517835e-01  6.80082560e-01
  -7.19920993e-02 -3.73517387e-02  1.54094890e-01 -1.64333045e-01
  -2.07459182e-03 -1.33940962e-03  5.20646691e-01  2.10914966e-02
   1.34709477e+00 -2.68235594e-01  2.75322556e-01  1.24949943e-02
   3.66581487e-03  1.65452585e-02  1.22627541e-01  2.57718265e-02
  -9.83797200e-03 -1.81073835e-03 -3.79312132e-03 -4.70375925e-01
   9.95152593e-02 -1.29063737e+00  9.87958908e-02 -7.45852053e-01
   4.00412604e-02 -7.83814609e-01 -1.06063280e-02  2.83325277e-03
   3.96636873e-01  4.76136565e-01  4.11153555e-01  1.06993906e-01
   6.12839404e-03 -1.32606854e-03  1.44100711e-01  5.52548058e-02
   1.35865784e-03 -1.06672116e-03  1.16076998e-01 -1.33821252e-03
  -1.23557844e-03  1.25680177e-03  1.08787150e-03  1.28715811e-03
   5.53535996e-03  2.62185991e-01  1.20350100e-01 -1.59355463e-04
   3.36207151e-02 -1.30176311e-03 -1.02821887e-02  9.48734989e-04
   4.45319302e-02  3.80303524e-02 -1.38782116e-03 -1.34186156e-03
   7.73952343e-03 -3.06043797e-03  1.17978523e-03 -1.15038303e-03
   2.72548515e-02  2.79072952e-03  1.19366089e-03  3.70479859e-02
   1.28527824e-03  1.23410024e-01 -1.38846925e-03  1.09935459e-02
   9.91079677e-03  9.07046895e-04  3.76599431e-02]]",[-1.4635283]
7,"[[-1.09673083e+00 -1.35019481e-01  3.45629424e-01  5.58219790e-01
   6.54301465e-01  1.75284088e-01 -2.11176381e-01  1.88894629e-01
   5.10374129e-01  4.90190350e-02 -3.63121368e-02 -1.48031046e-04
  -1.38837181e-03 -1.78877473e-01  9.66940373e-02  1.12548452e-02
  -3.32515948e-02  8.75654817e-02 -6.60077333e-02  2.97450200e-02
  -8.19872972e-03 -1.06629521e-01  5.18482924e-01  1.36540551e-02
   3.24942172e-02 -5.77040389e-03 -2.78605763e-02 -2.36378983e-05
   1.30642980e-01  4.05606697e-04 -8.57320032e-04  6.45886719e-01
   8.25192127e-03  2.46735173e-04 -1.03319836e+00 -1.06629521e-01
   2.97450200e-02  4.38588969e-02  9.90864694e-01  1.57986784e+00
  -4.34473623e-03 -2.77731508e-01 -5.20585943e-03  1.35566313e-02
   4.87062754e-03  9.85680446e-02  6.72934234e-01  1.04464300e-01
  -3.16465020e-01  3.50355327e-01  8.99338007e-01  6.30348027e-01
  -9.30933282e-02  2.31797341e-03  8.37020651e-02 -2.19221458e-01
  -1.41255651e-03  9.81917256e-04  4.59776759e-01  1.05654716e-03
   1.27916193e+00 -2.76684731e-01  2.19238073e-01  2.33615749e-02
   7.87534006e-03  1.35491574e-02  9.55537483e-02  2.69703157e-02
  -2.45836191e-03  5.70060743e-04 -1.44814942e-02 -4.77539837e-01
   1.10467955e-01 -1.35417712e+00  1.54041514e-01 -7.63225496e-01
   5.59590906e-02 -7.96216547e-01 -9.14041698e-03 -3.23176570e-03
   3.97661835e-01  4.44883674e-01  2.86196768e-01  1.93185289e-04
  -9.55341966e-04  6.42057508e-04  3.31924260e-02  3.98978498e-03
   8.49500997e-04  6.86159707e-04  7.24451430e-03  1.00514258e-03
  -9.05490015e-04 -6.02827640e-05  9.59872617e-04  7.00766686e-04
   9.31297487e-04  1.86568379e-01 -3.85712250e-04 -2.24771630e-03
  -1.05722994e-03 -3.54552292e-04 -7.87787326e-03  2.97076884e-04
   7.88230798e-04  4.07741545e-03  5.84173133e-04 -6.22912426e-04
  -8.06701020e-04 -7.55193294e-04 -5.81393251e-04 -4.60609747e-03
  -4.61897696e-04  1.13304518e-02  4.94309817e-04  1.08957349e-03
   9.95388604e-04 -6.21506828e-04 -9.20374645e-04 -1.01446954e-03
  -1.00328424e-03 -7.23347650e-04 -9.58104036e-04]]",[-1.2256488]
8,"[[-1.10774648e+00 -1.66293949e-01  2.93744087e-01  4.88694817e-01
   6.37047052e-01  1.65715948e-01 -2.06636548e-01  1.98138759e-01
   5.06957948e-01  2.84861866e-02 -1.58636924e-02  1.35962677e-04
   7.39040377e-04 -1.68818951e-01  9.58644748e-02 -5.20680770e-02
  -5.17541319e-02  9.76456106e-02 -1.08405367e-01  1.95881221e-02
  -4.34482563e-03 -1.13920182e-01  4.71879989e-01  1.64396539e-02
   2.24175714e-02 -1.52072508e-03 -1.86797436e-02  7.45773548e-04
   9.65711176e-02 -5.41114714e-04 -3.65501223e-03  5.81150353e-01
   4.58620396e-03  1.50837412e-04 -1.05217993e+00 -1.13920182e-01
   1.95881221e-02  5.43023348e-02  9.51951087e-01  1.59396684e+00
  -1.07578281e-03 -2.87536502e-01 -4.07144427e-03  1.46535076e-02
   4.06748103e-03  3.89322592e-03  6.41773760e-01  9.45992097e-02
  -3.46734077e-01  3.35370421e-01  8.15130532e-01  6.25971913e-01
  -1.00414127e-01 -6.27628043e-02  1.09567225e-01 -2.49126807e-01
  -2.89173126e-02  7.31881824e-04  4.38472331e-01  6.53970230e-04
   1.25607538e+00 -2.97399253e-01  1.39605343e-01  1.32799037e-02
   5.85932424e-03  5.78735536e-03  1.13973297e-01  1.70244575e-02
  -4.43309499e-03 -6.03417924e-04 -1.15555869e-02 -4.81362760e-01
   8.33538696e-02 -1.32669866e+00  9.45023671e-02 -7.79255629e-01
   3.99279445e-02 -8.29648256e-01 -2.86382399e-02 -1.79803707e-02
   3.94925028e-01  5.10683060e-01  2.26880044e-01  1.16697059e-03
  -2.20857968e-04 -7.20049196e-04 -1.37318077e-03  1.84707216e-03
   8.02963565e-04 -7.59896473e-04  5.38766757e-03  7.44713529e-04
  -6.13705546e-04  4.19386022e-04 -5.62926056e-04  7.94030842e-04
   6.84799685e-04  9.17392150e-02 -4.60555835e-04 -1.23806170e-03
  -3.61031329e-04 -4.83537966e-04 -1.15482146e-02  2.25775584e-04
   3.98971490e-04 -7.40450108e-04  3.38071433e-04 -7.10057386e-04
   1.24039303e-04 -4.38217627e-04 -5.16013242e-04 -3.91627382e-03
   7.32161629e-04  5.08145709e-03  6.57697499e-04  7.46713369e-04
  -8.05203046e-04 -2.84643611e-04  8.26474628e-04 -7.93712155e-04
   8.20044545e-04  3.78906901e-04 -7.22207187e-04]]",[-1.1049582]
9,"[[-1.16407812e+00 -1.73905045e-01  1.87087461e-01  5.06300032e-01
   5.77405393e-01  1.29381001e-01 -2.05330834e-01  2.13427573e-01
   4.68777835e-01  9.66978818e-03 -2.20496189e-02 -5.14980988e-04
  -3.70857684e-04 -1.82415619e-01  6.43728003e-02 -4.87877093e-02
  -4.86791022e-02  6.19786084e-02 -1.10951990e-01  1.31202713e-02
  -2.71677994e-03 -1.21348068e-01  4.14915323e-01  7.73760490e-04
   3.70630883e-02 -3.18233832e-03 -2.87477039e-02 -4.20423603e-04
   6.89633563e-02  1.79917522e-04 -7.64589640e-04  5.22059500e-01
   3.64874490e-03  2.59515218e-04 -1.10998690e+00 -1.21348068e-01
   1.31202713e-02  5.75323738e-02  9.56322551e-01  1.56625438e+00
  -4.70857769e-02 -2.74442166e-01 -2.86158221e-03  1.18818022e-02
   5.96453343e-03  2.95839622e-03  6.39000237e-01  5.42976558e-02
  -3.85850996e-01  3.34920496e-01  8.05481970e-01  6.12697065e-01
  -1.45849645e-01 -1.22206934e-01  6.38753325e-02 -2.71467805e-01
  -7.25787412e-03 -5.50222176e-05  3.71998608e-01 -2.10542494e-04
   1.14004266e+00 -3.21529388e-01  8.10022876e-02  6.91896304e-03
   4.19656280e-03  7.43673975e-03  6.51110411e-02  2.27040369e-02
  -3.02271754e-03 -5.15165390e-04 -4.26197983e-02 -5.39635718e-01
   9.32617113e-02 -1.39274096e+00  1.06226750e-01 -8.44586790e-01
   4.62658443e-02 -8.75620902e-01 -6.97066681e-03 -1.61368474e-02
   3.69863003e-01  4.76815283e-01  1.98901623e-01  1.26750884e-03
  -2.41085887e-03 -7.89974292e-05 -8.14904924e-04  3.40722990e-03
  -2.02281779e-04 -8.73106066e-04  2.11521983e-03  1.73576118e-05
  -2.40693480e-04  5.20439644e-05 -2.41929520e-04  8.77011917e-06
  -2.21158582e-04  1.78015996e-02  2.23761395e-04 -1.89170893e-03
   1.40823162e-04  7.92244973e-05 -6.73265755e-03 -5.29172714e-04
   2.20759888e-04 -2.75110855e-04  1.90224411e-04 -7.18644878e-05
   2.12625862e-04 -7.13461137e-04 -1.18875090e-04 -2.52116681e-03
  -1.17452553e-04  4.34386358e-03 -1.11262169e-04  1.80227216e-03
  -9.47032531e-05 -1.19826000e-05 -1.43237383e-04  6.28018461e-05
  -1.96614099e-04 -9.19669867e-04  1.90793333e-04]]",[-0.9099202]
