,linear.weight,linear.bias
0,[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]],[1.]
1,"[[0.6708722  0.67630416 0.6655966  0.66603506 0.6674872  0.66402364
  0.66550577 0.6658406  0.66648144 0.6708346  1.0993273  0.20659162
  0.962824   0.96169823 0.95879847 0.9618288  0.87926346 0.8198964
  0.91043925 1.0002284  0.97964185 0.9814778 ]]",[-2.2281573]
2,"[[0.61855626 0.63062125 0.6072515  0.6154203  0.6169051  0.60594445
  0.6064977  0.6147329  0.6100131  0.6236169  0.9614739  0.07771127
  0.93841004 0.9363526  0.9334216  0.9363332  0.771973   0.65564674
  0.83392394 1.013129   0.972143   0.9763597 ]]",[-2.659681]
3,"[[0.595943   0.6144607  0.58117306 0.593886   0.5963513  0.5794737
  0.57620984 0.595343   0.58705217 0.6073899  0.8412211  0.03048603
  0.91593814 0.91513324 0.91085285 0.91198075 0.6676095  0.49539232
  0.75773895 1.0284885  0.96856093 0.9736284 ]]",[-2.7644684]
4,"[[0.58288115 0.60758334 0.56323725 0.5802097  0.58468705 0.56029576
  0.5563089  0.5819715  0.5729917  0.59603864 0.74037915 0.00948697
  0.8951707  0.89608634 0.8903912  0.889537   0.56988955 0.34734237
  0.68692195 1.0422436  0.96574765 0.9718422 ]]",[-2.7940142]
5,"[[0.57451797 0.6020767  0.54721266 0.57059634 0.5767524  0.5469694
  0.5400114  0.57118756 0.5619164  0.5875478  0.6475782  0.00174317
  0.87518007 0.8764855  0.86944145 0.8679987  0.4718758  0.1967238
  0.615509   1.0568291  0.9632323  0.97038764]]",[-2.7947862]
6,"[[0.5653228  0.60013413 0.53075457 0.56454307 0.5732853  0.53436244
  0.5211991  0.56416917 0.5552104  0.5792247  0.56565547 0.00157239
  0.8546807  0.8570573  0.849571   0.8431398  0.37351468 0.04555681
  0.54342926 1.0689298  0.9613443  0.96927935]]",[-2.7907834]
7,"[[ 5.5471432e-01  5.9358788e-01  5.1519787e-01  5.5678058e-01
   5.6967914e-01  5.1813251e-01  4.9825636e-01  5.5735791e-01
   5.4929519e-01  5.7116562e-01  4.9225664e-01  6.7381200e-04
   8.3540285e-01  8.3957458e-01  8.2940060e-01  8.1831509e-01
   2.7712452e-01 -9.0296611e-02  4.7260371e-01  1.0814203e+00
   9.5895821e-01  9.6923184e-01]]",[-2.785412]
8,"[[ 5.4290742e-01  5.8611852e-01  4.9929559e-01  5.4956883e-01
   5.6750453e-01  5.0286388e-01  4.7782111e-01  5.5090338e-01
   5.4520845e-01  5.6314552e-01  4.2553496e-01 -9.1296795e-05
   8.1567818e-01  8.2031035e-01  8.0920696e-01  7.9287827e-01
   1.8108477e-01 -2.1964781e-01  4.0332758e-01  1.0933329e+00
   9.5620382e-01  9.6841234e-01]]",[-2.7767184]
9,"[[ 5.3157252e-01  5.7934403e-01  4.8620257e-01  5.4601485e-01
   5.6503332e-01  4.8755470e-01  4.5644009e-01  5.4603827e-01
   5.4287136e-01  5.5613327e-01  3.6595407e-01  3.1583669e-04
   7.9765570e-01  8.0332583e-01  7.9008114e-01  7.6831043e-01
   8.7756209e-02 -3.4231073e-01  3.3630499e-01  1.1042676e+00
   9.5344907e-01  9.6791232e-01]]",[-2.770371]
10,"[[ 5.1815653e-01  5.7159209e-01  4.7245264e-01  5.3895199e-01
   5.6251782e-01  4.7211692e-01  4.3386364e-01  5.3922462e-01
   5.3875619e-01  5.4903638e-01  3.1532732e-01 -8.1810285e-04
   7.8007936e-01  7.8703785e-01  7.7038097e-01  7.4358374e-01
  -1.7976753e-03 -4.6179211e-01  2.6937521e-01  1.1157227e+00
   9.5118010e-01  9.6670473e-01]]",[-2.7586489]
11,"[[ 5.0795180e-01  5.6336826e-01  4.5618093e-01  5.3467566e-01
   5.6006783e-01  4.5625070e-01  4.1151583e-01  5.3453106e-01
   5.3501022e-01  5.4198569e-01  2.6909101e-01  1.0347957e-04
   7.6211494e-01  7.6908940e-01  7.5262082e-01  7.1896088e-01
  -7.5027131e-02 -5.8241481e-01  2.0215666e-01  1.1261539e+00
   9.4938260e-01  9.6692383e-01]]",[-2.7573805]
12,"[[ 4.9606597e-01  5.5440170e-01  4.4055977e-01  5.3001124e-01
   5.5782074e-01  4.3998441e-01  3.9027807e-01  5.2776563e-01
   5.3104222e-01  5.3393030e-01  2.2715183e-01 -1.0926470e-03
   7.4392414e-01  7.5179577e-01  7.3427129e-01  6.9458967e-01
  -1.4488398e-01 -7.0028281e-01  1.3775747e-01  1.1355575e+00
   9.4711906e-01  9.6604788e-01]]",[-2.7503495]
13,"[[ 4.8214209e-01  5.4625475e-01  4.2500043e-01  5.2446544e-01
   5.5674499e-01  4.2384127e-01  3.6688647e-01  5.2145159e-01
   5.2522904e-01  5.2465326e-01  1.8763788e-01 -8.9103141e-04
   7.2623587e-01  7.3629290e-01  7.1613514e-01  6.7045826e-01
  -2.1508625e-01 -8.1493014e-01  7.3296681e-02  1.1466272e+00
   9.4502658e-01  9.6589178e-01]]",[-2.7409995]
