,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1.]]",[1.]
1,"[[ 0.40093836  0.53305644  0.5654371   0.6379405   0.5842664  -0.54765
   0.80488193  0.9458126   0.9357439   0.8395257   0.893968    0.9946605
   0.9948611   0.53831136  0.5587961   0.54822445  0.53749484  0.5388118
   0.72289985  0.45811328  0.88325137  0.22801058  0.9866673   0.9133091
   0.89498985  0.94516563  0.9339758   0.95595187  0.93085027  0.9759875
   0.9079116   0.9881938   0.95804185  0.98962826  0.5808989   0.22801058
   0.45811328  0.81272614  0.64189047  0.36707425  0.59484994  0.01588697
   0.8914956   0.89649266  0.95214033  0.99484587  0.93890125  0.72359437
   0.67686     0.7552596   0.8361752   0.7909879   0.87997746  0.83596724
   0.67626035  0.90762013  0.8826533   0.97780794  0.9539302   0.99481386
   0.9209744   0.5226798   0.45973042  0.26564094  0.8922971   0.655889
  -0.7950379   0.90174925  0.9643251   0.9636954   0.6925859   0.03094962
  -0.29152894 -1.1454295   0.8864374  -1.1747025   0.915745    0.48088822
   0.80296594 -0.05399425  0.8514716   0.64263415 -0.93401396  0.9939087
   0.98729193  0.98328996  0.9872106   0.98464775  0.99415064  0.9868989
   0.9910856   0.9925034   0.98751473  0.9885366   0.9865556   0.99254787
   0.99398935  0.9785773   0.9905841   0.9899059   0.98712796  0.98807746
   0.92443323  0.99195373  0.99370575  0.99320745  0.9867952   0.9934683
   0.99258506  0.9912333   0.99020267  0.9885114   0.99441665  0.98926175
   0.9909905   0.99471104  0.99295235  0.9951385   0.9835705   0.99323946
   0.9929445   0.9937011   0.99537224]]",[-1.2597076]
2,"[[ 0.29255915  0.46378717  0.56025916  0.64811516  0.58817995 -0.5180523
   0.74391145  0.94105244  0.91923743  0.7859914   0.8547645   0.98971575
   0.99022025  0.49909592  0.53274095  0.52636284  0.4965811   0.49811912
   0.75611943  0.4243739   0.8491563   0.20650503  0.9937512   0.8888398
   0.87398076  0.9205853   0.9054703   0.9382823   0.9447117   0.9600888
   0.8827119   0.99536896  0.9346767   0.9815479   0.43407395  0.20650503
   0.4243739   0.77161497  0.7163328   0.58149064  0.49375093 -0.15558507
   0.84601396  0.85949165  0.9272036   0.9910658   0.9395736   0.72385025
   0.59243697  0.7555977   0.89530045  0.80248624  0.85330164  0.80807984
   0.6228999   0.8745028   0.8731559   0.96624875  0.9435992   0.9901496
   0.930288    0.42926493  0.6674869   0.13436407  0.84780097  0.5349009
  -0.7224775   0.8371667   0.94450337  0.93909776  0.56902343 -0.18749568
  -0.21223056 -1.2719337   0.86604005 -1.2875428   0.88168305  0.35751897
   0.74338    -0.07262703  0.85551107  0.68017936 -0.8986146   0.9886198
   0.9790149   0.9714823   0.9796001   0.9755304   0.98908645  0.97560537
   0.9841208   0.98610646  0.97667974  0.97884357  0.9772208   0.9865378
   0.9884933   0.96194965  0.9840152   0.98263645  0.9767892   0.97839874
   0.88212395  0.9856604   0.9887478   0.9878535   0.9768863   0.9874105
   0.9861123   0.9831739   0.9819734   0.98028576  0.98954135  0.98127854
   0.9842294   0.9901647   0.98649395  0.99099994  0.9736621   0.98758733
   0.98724455  0.9878084   0.9909037 ]]",[-1.4067513]
3,"[[ 0.21246189  0.40919405  0.5562393   0.66264087  0.5892246  -0.4499268
   0.6758302   0.9313023   0.9059693   0.736208    0.8214322   0.98402333
   0.9851694   0.46062157  0.5195616   0.5121708   0.46683982  0.47056615
   0.78508705  0.41127482  0.82022065  0.20334546  0.9984168   0.8644656
   0.856345    0.8989493   0.87578195  0.9234248   0.9577691   0.94437224
   0.8575559   1.0000253   0.90918887  0.9736216   0.2985152   0.20334546
   0.41127482  0.73444045  0.782185    0.7348208   0.42078385 -0.2644806
   0.80938846  0.8292743   0.9038155   0.98668873  0.9398576   0.7195581
   0.5250571   0.7591306   0.9507988   0.8194885   0.82622415  0.78066933
   0.5913768   0.83853513  0.86098444  0.95575196  0.93333834  0.9851157
   0.9439907   0.35991848  0.80942386  0.05008969  0.8082847   0.4444238
  -0.63584137  0.7744551   0.925551    0.9155752   0.47410238 -0.32889485
  -0.1601276  -1.3436095   0.83875036 -1.351697    0.84687173  0.257938
   0.6950746  -0.06586792  0.8603927   0.7029546  -0.82534367  0.98276085
   0.9710288   0.9603665   0.97185594  0.9662145   0.98341095  0.96453494
   0.976786    0.97984993  0.96525156  0.9687603   0.968318    0.97983414
   0.9824001   0.94490516  0.9774546   0.97532344  0.9673376   0.967883
   0.84184736  0.97905076  0.98332846  0.9819449   0.9664081   0.9811383
   0.97952825  0.9743353   0.9736995   0.9719425   0.98413026  0.9735683
   0.97656006  0.9851207   0.9799279   0.9859473   0.96258074  0.98105425
   0.9815092   0.98130983  0.9858514 ]]",[-1.4936068]
4,"[[ 0.1528302   0.36816853  0.5497109   0.66905856  0.5911513  -0.38628507
   0.6181255   0.9196213   0.8961576   0.6938332   0.793639    0.9788862
   0.98056555  0.43122306  0.5058554   0.49787983  0.44791022  0.44805032
   0.7991215   0.40537345  0.79732144  0.20086212  1.000634    0.845179
   0.8399709   0.8817975   0.8514116   0.911853    0.9682293   0.9316563
   0.8391154   1.0037435   0.88883644  0.9669399   0.19548678  0.20086212
   0.40537345  0.7032307   0.82596695  0.8201862   0.3713058  -0.32776812
   0.78179896  0.8073009   0.88566506  0.98296094  0.9419594   0.713207
   0.47298056  0.75924134  0.9919813   0.8325127   0.805143    0.7593262
   0.5726856   0.8081594   0.84636647  0.9473626   0.9236046   0.9804391
   0.9596691   0.3133052   0.8788556   0.00499807  0.7779497   0.37806153
  -0.567875    0.7208874   0.9092713   0.8941526   0.40746585 -0.41054994
  -0.14615938 -1.3892661   0.807819   -1.394872    0.8134583   0.18639581
   0.6571862  -0.04953953  0.8571289   0.7093808  -0.7578495   0.9775019
   0.96333206  0.9501951   0.9650097   0.9580329   0.9784557   0.9531581
   0.9705137   0.9737971   0.9552548   0.9595366   0.9602578   0.97362024
   0.97707844  0.9311048   0.97083455  0.9687071   0.95987165  0.9581949
   0.80966336  0.9731729   0.97786224  0.97671586  0.95749116  0.9755818
   0.97369146  0.96671945  0.9656307   0.9641242   0.97937906  0.9667448
   0.97024167  0.9805688   0.9738403   0.98144364  0.95363724  0.97513986
   0.97620153  0.9755165   0.9812462 ]]",[-1.5737903]
5,"[[ 0.10482322  0.33006805  0.5459603   0.67050374  0.59229285 -0.3275189
   0.56408584  0.90845186  0.8877019   0.6571022   0.76855576  0.9738021
   0.97602695  0.40147555  0.49830654  0.48331273  0.43246946  0.42808238
   0.8088498   0.40001178  0.7775387   0.20585066  1.0031221   0.8286083
   0.8236771   0.8660096   0.8285821   0.9014258   0.97372055  0.9187925
   0.82205683  1.0068284   0.8710737   0.96003926  0.10299129  0.20585066
   0.40001178  0.674783    0.86001164  0.8766442   0.3331425  -0.3719855
   0.75905     0.7893937   0.86870015  0.9792333   0.9440734   0.7050337
   0.43151516  0.7586758   1.0274253   0.8418964   0.7855439   0.7392674
   0.5584666   0.7777386   0.83259994  0.9397362   0.9157285   0.97571945
   0.9765853   0.27502593  0.91824305 -0.01807104  0.75165844  0.32552916
  -0.50846356  0.67325366  0.894667    0.8748445   0.35116214 -0.46421883
  -0.14884387 -1.4234718   0.77683735 -1.4260117   0.7794107   0.12573038
   0.6250697  -0.03543461  0.85491425  0.71183467 -0.6925029   0.9721717
   0.956047    0.9407386   0.9580533   0.9501978   0.9735622   0.94290185
   0.9645658   0.9678006   0.94625455  0.94974095  0.95298123  0.96795654
   0.9719399   0.91888547  0.96482307  0.96227944  0.9523726   0.94950414
   0.78024644  0.96695995  0.9729504   0.97162473  0.9487544   0.96948093
   0.96790165  0.95914245  0.95808244  0.95693856  0.9745914   0.9601798
   0.9636769   0.97592056  0.96819884  0.9770715   0.9449822   0.9697619
   0.9709647   0.97014445  0.9767422 ]]",[-1.6312926]
6,"[[ 0.06210627  0.2971408   0.54700387  0.66511357  0.59418017 -0.26723018
   0.5108115   0.89447695  0.8814067   0.62378323  0.7445722   0.96892005
   0.9714824   0.3744196   0.49016744  0.470298    0.41841036  0.41224697
   0.819107    0.39815092  0.7605313   0.20360667  1.0056434   0.8139447
   0.8101117   0.85103196  0.80744654  0.8917759   0.9768886   0.9071254
   0.8063455   1.0097787   0.85397726  0.9534081   0.02042974  0.20360667
   0.39815092  0.65102774  0.8923292   0.9197608   0.2989382  -0.40258333
   0.7381718   0.77242595  0.8532802   0.9760812   0.94407016  0.696011
   0.39431757  0.75819236  1.0578977   0.8552993   0.76628274  0.7196704
   0.54615295  0.7497423   0.8190679   0.9323766   0.9077939   0.9708417
   0.99700516  0.24352482  0.94151306 -0.03336829  0.72802526  0.27864003
  -0.45397443  0.62823755  0.8809494   0.8569568   0.30413797 -0.5024573
  -0.1573934  -1.4447775   0.74240774 -1.4496725   0.7473353   0.0734517
   0.5945861  -0.01307154  0.8497957   0.7081959  -0.626322    0.9672112
   0.9494814   0.9321124   0.95207345  0.9426023   0.9686571   0.9330599
   0.95848095  0.96184814  0.9371894   0.9402329   0.9451494   0.96190107
   0.96669173  0.90713054  0.95881206  0.9554959   0.9454745   0.9408872
   0.7519834   0.9610679   0.96799225  0.9663981   0.94099253  0.963518
   0.9621439   0.9522044   0.95104885  0.94987047  0.9691309   0.95361644
   0.9576798   0.9711927   0.9622719   0.9724868   0.9368645   0.9639653
   0.96572447  0.96443605  0.9721876 ]]",[-1.675917]
7,"[[ 0.02477109  0.26544905  0.54258114  0.66624683  0.59093463 -0.21366931
   0.46089482  0.8818621   0.87544096  0.594055    0.72105616  0.96389955
   0.96693945  0.35079908  0.4774936   0.45681596  0.4090051   0.39586732
   0.82336205  0.39570013  0.74509656  0.20434251  1.0085068   0.79928356
   0.7967248   0.8357401   0.7877607   0.88260025  0.98093444  0.8957594
   0.7917914   1.0119963   0.8380573   0.9464539  -0.05002186  0.20434251
   0.39570013  0.6274522   0.91912997  0.948138    0.27190176 -0.42550826
   0.718359    0.7567681   0.8387431   0.972112    0.9454814   0.6823568
   0.3619741   0.75699645  1.08411     0.8672529   0.747828    0.70145345
   0.53657717  0.7219219   0.8069716   0.9252755   0.8999402   0.96611977
   1.0171579   0.21476507  0.949298   -0.04200703  0.70581496  0.23922378
  -0.4071818   0.5848145   0.86794937  0.8408339   0.26327634 -0.5304436
  -0.17365697 -1.4653172   0.7097515  -1.470148    0.7146146   0.02849936
   0.5671145   0.00164589  0.84579265  0.70247406 -0.5652872   0.96175563
   0.9427113   0.9232113   0.946141    0.93522435  0.9636109   0.9233777
   0.9523843   0.9557102   0.92866504  0.9309482   0.9381741   0.95567954
   0.96163136  0.89592105  0.952744    0.9492166   0.9389403   0.9325714
   0.72504705  0.95518583  0.96301454  0.96111137  0.9333369   0.95776343
   0.9563762   0.9452694   0.94459766  0.94291383  0.9641461   0.947679
   0.9516754   0.96645707  0.95673054  0.96789455  0.9293324   0.95842135
   0.9605923   0.9586521   0.9676398 ]]",[-1.7217377]
8,"[[-0.00626975  0.23842534  0.53287023  0.6637884   0.59560627 -0.16963528
   0.42000064  0.87069535  0.8708423   0.56659454  0.7001456   0.95919925
   0.96265393  0.32888475  0.4662826   0.44479555  0.39797673  0.3845601
   0.8207719   0.39575893  0.73148674  0.20625186  1.0104506   0.78700215
   0.78429836  0.8236443   0.77066433  0.8745612   0.98303884  0.88591605
   0.77886605  1.0135005   0.82351726  0.94025683 -0.10620668  0.20625186
   0.39575893  0.6069845   0.93481266  0.9671373   0.24865492 -0.44241303
   0.70131403  0.7436178   0.8259935   0.9687274   0.94675887  0.6737267
   0.33278945  0.75719136  1.1042894   0.8747802   0.73101723  0.6840398
   0.52867264  0.6985006   0.7937423   0.91875595  0.89443386  0.96170175
   1.0338197   0.18921581  0.9507015  -0.04545259  0.68649024  0.20623648
  -0.367787    0.54755867  0.85608244  0.8259552   0.22888176 -0.5551982
  -0.18670219 -1.4772251   0.67537767 -1.4847243   0.68291086 -0.00943693
   0.5427341   0.00902834  0.84053725  0.69768184 -0.5115952   0.95690066
   0.9363848   0.9150894   0.94031435  0.9283434   0.95901686  0.9141333
   0.9470709   0.95013624  0.920394    0.9227925   0.9311693   0.9500223
   0.9568963   0.88609636  0.9476447   0.9434509   0.93302345  0.92469186
   0.7019774   0.9498443   0.95842767  0.9562424   0.9261716   0.9524947
   0.95107687  0.9387414   0.9386439   0.9362445   0.9593833   0.94179237
   0.946131    0.96205676  0.95149916  0.9637347   0.9219694   0.95327455
   0.95553255  0.95341223  0.963323  ]]",[-1.7582763]
9,"[[-0.02963656  0.2126766   0.52392733  0.6601194   0.5982836  -0.1286558
   0.38019022  0.857357    0.864906    0.5435943   0.67896336  0.95433
   0.9582329   0.30713806  0.45680672  0.43110484  0.38825792  0.3714004
   0.81472313  0.39525247  0.71796584  0.20779082  1.0117787   0.7742469
   0.7739853   0.8107955   0.75369394  0.86668545  0.98598415  0.87578064
   0.76753825  1.0148702   0.80912495  0.93389285 -0.1603006   0.20779082
   0.39525247  0.588288    0.94752085  0.97651064  0.2266863  -0.4532855
   0.6852502   0.7317107   0.81328976  0.9650782   0.9486959   0.6619351
   0.30453235  0.75717473  1.1225225   0.8833584   0.713763    0.6653762
   0.520586    0.67569894  0.7819193   0.9123756   0.88877153  0.9571935
   1.049082    0.16487491  0.9436664  -0.04382062  0.6682017   0.17558639
  -0.32913622  0.5108058   0.8435272   0.8108736   0.1955716  -0.5740974
  -0.20499612 -1.4923854   0.6446023  -1.4980673   0.6503183  -0.04280049
   0.5193535   0.01629739  0.8350636   0.6935807  -0.45531923  0.9520767
   0.9299207   0.90695703  0.9342435   0.9209318   0.95417976  0.905052
   0.9416446   0.9443734   0.9120358   0.9140235   0.92421424  0.9439389
   0.95206255  0.8762523   0.94120497  0.9372282   0.92687744  0.91719604
   0.6790086   0.94418347  0.9536044   0.95128757  0.91855145  0.94678223
   0.9454453   0.93237525  0.93283147  0.9296609   0.95451856  0.93602824
   0.94045657  0.9575381   0.946124    0.95916796  0.91448015  0.9480975
   0.9506016   0.94794255  0.95889   ]]",[-1.7950552]
